Time,Level,Robot name,Process,Hostname,Host Identity,Message
1:18:00,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Processing File : 6
1:18:00,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Started Process
1:18:26,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Data extracted for resume linsam.pdf
1:18:39,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,linsam.pdf has been shortlisted and moved to the Job ID folder
1:18:39,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Transaction Successful.
1:18:39,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Get the transaction item AasthaGupta.pdf
1:18:39,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Processing File : 7
1:18:40,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Started Process
1:19:07,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Data extracted for resume AasthaGupta.pdf
1:19:19,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,AasthaGupta.pdf has been shortlisted and moved to the Job ID folder
1:19:19,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Transaction Successful.
1:19:19,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Process finished due to no more transaction data
1:19:33,Info,neha.natesh88@gmail.com-unattended,Resume_Parser_NehaNatesh,NEHA,NEHA\Neha,Resume_Parser_NehaNatesh execution ended
